번호,날짜,제목,블로거,URL
31,"2026-01-29","1월 넷째주 - 부동산,경제 이야기","연희동 전문 부동산 '반트'","https://blog.naver.com/yeonhui_vant/224161187560"
32,"2026-01-29","드파인 연희 분양 및 청약안내","그대 그리고 상상","https://blog.naver.com/yoo6259/224163634721"
33,"2026-01-29","서울 첫 분양부터 74점… 2026년 서울 분양시장이 보내는... ","부싯돌의 백억프로젝트","https://blog.naver.com/busitdol21/224163630134"
34,"2026-01-29","아파트와 재개발은 다 올랐다 가재울7구역 초투는 아직?","스패너의 부동산 기록","https://blog.naver.com/spanner-/224163604213"
35,"2026-01-29","[그리움] 오늘의 부동산 이슈 (1월 29일)","⭐"" 그리움의 부동산개발 ""","https://blog.naver.com/sooheenam/224162969587"
36,"2026-01-29","9억원이하, 갭메우기, 성북구 월곡두산위브, 롯데캐슬클라시아... ","삶이고단수의 부동산투자","https://blog.naver.com/sdhhammer/224163364274"
37,"2026-01-29","✅ 추가로 “올해(2026) 서울”에 넣어야 할 분양 라인업... ","JarvisArchive : 너와 나의 시간의 봉인","https://blog.naver.com/ez010/224163503018"
38,"2026-01-29","드파인 연희 분양 당첨 점수, 최고 74점 최저 61점 기록","자몽코끼리 자본주의 유치원","https://blog.naver.com/archf/224163502920"
39,"2026-01-29","️ “1분기 서울 1만가구 폭탄”…진짜 경쟁 붙는 단지 5곳... ","JarvisArchive : 너와 나의 시간의 봉인","https://blog.naver.com/ez010/224163499331"
40,"2026-01-29","경제 일반..네이버(언론사제공) 2025년1월29일","5천만 국민.질병 없는.백년건강 위하여~~~","https://blog.naver.com/c1c1b1b1/224163493215"
41,"2026-01-29","드파인 연희 청약 가점 74점 실화? 서울 당첨 커트라인... ","오늘의시선","https://blog.naver.com/ssstar0217/224163434291"
42,"2026-01-29","[서울 청약 시리즈 ①] 드파인 연희 74점 당첨 쇼크…서울... ","나만의 여정","https://blog.naver.com/sjlim2001/224163433087"
43,"2026-01-29","[청약분석·일정] 드파인 연희(연희1구역 재개발) 74점 폭발... ","부자쭈의성공의길","https://blog.naver.com/son2104/224163409206"
44,"2026-01-29","드파인 연희 당첨자 발표 및 가점컷 확인","청약·분양권 전문가 키네스트의 부동산 투자전략","https://blog.naver.com/blueinu1968/224163407309"
45,"2026-01-28","분당 수내동 양지마을 재건축 특별정비구역지정 완료","답사(임장)가는 생각이꿈","https://blog.naver.com/pdkil870/224163348566"
46,"2026-01-28","(재개발) 서대문구 연희1구역, 드파인연희(959세대)","happylifeho님의 블로그","https://blog.naver.com/happylifeho/224163336554"
47,"2026-01-28","드파인연희 평면도 커뮤니티 e모델하우스 동호수배치도... ","엄쑤의 행복만땅 블로그","https://blog.naver.com/s2s2sj/224163256298"
48,"2026-01-28","2026년 1분기 서울 아파트 분양 시장 분석","윈터스의 세계 여행","https://blog.naver.com/jsk1988/224163243933"
49,"2026-01-28","2026년1월,2월분양일정|입주아파트명단","집캔디의올인부동산","https://blog.naver.com/allinbudongsan/224163205316"
50,"2026-01-28","[서울 신축 청약의 현실]  "드파인 연희" vs "반포 래미안... ","부동산·청약·재테크 정리와 해설","https://blog.naver.com/hksnim00/224163203321"
51,"2026-01-28","[부동산뉴스] 1월29일(목)-불법증축 빌라 6만동 '합법화' 길... ","삶터&부동산 이야기","https://blog.naver.com/amigu33/224163196588"
52,"2026-01-28","[서울아파트분양] 드파인 연희 청약일정 및 분양정보 총정리","꽃보다분양 010-2399-3206","https://blog.naver.com/babi8102/224163180528"
53,"2026-01-28","2026년 1월28일(수) 장마감 주요이슈 및 주요뉴스 클리핑","만물박사의 세상 모든 이야기","https://blog.naver.com/cavin419/224163155838"
54,"2026-01-28","서울 첫 분양‘드파인 연희’당첨 가점 공개…최고74점... ","부동산과 분양정보, 경제관련자료 제공","https://blog.naver.com/jsh5015/224163126731"
55,"2026-01-28","보라매파르크힐 아파트 2호선 지하철역과 공원조망 59/84.","아파트와 오피스텔 :1670-7078","https://blog.naver.com/hkt2020/224162993442"
56,"2026-01-28",""예비 청약자라면 놓치지 마세요!" 1분기 서울 분양 '1만 가구... ","집땅지성","https://blog.naver.com/zipttang/224162984857"
57,"2026-01-28",""드파인연희"견본주택 방문 ing","연인도사 블로그","https://blog.naver.com/thddnjsakxm/224162917076"
58,"2026-01-28","26/01/28(수) 부동산 이슈","경인부동산공인중개사무소","https://blog.naver.com/budongsan701/224162831502"
59,"2026-01-28","[1월28일 경제뉴스] 1분기 서울 분양 9천969가구, 양재나들목... ","행복한 부자의 인사이트 노트","https://blog.naver.com/jkh9636/224162772266"
60,"2026-01-28","간추린 오후 경제종합 이슈&amp;뉴스","꿀꿀한데 형님팬다","https://blog.naver.com/gusteam/224162686385"
61,"2026-01-28","[ 수도권 주요 단지 청약 일정 ] 01월 ４주차 : 드파인 연희... ","꼬마홈즈 | 하이엔드 부동산 & 라이프","https://blog.naver.com/hi_high_end/224162667092"
62,"2026-01-28","서초·서대문·영등포가 동시에 나온다? 2026년 초 서울... ","매일 경제를 공부하는 워킹맘 부지런한 개미","https://blog.naver.com/hayth0121/224162614661"
63,"2026-01-28","서대문구 뉴타운(feat.드파인연희)북아현 2,3구역 재개발에... ","워킹맘 최실장","https://blog.naver.com/thepro_01/224162650359"
64,"2026-01-28","드파인 연희 당첨자발표일, 당첨 커트라인 타입별 분석!... ","행운만땅 대박집","https://blog.naver.com/lucky7777777_/224162582243"
65,"2026-01-28","[아파트 청약]드파인 연희 당첨 가점 발표! 커트라인 69점의 의미","대박","https://blog.naver.com/greatlucky_/224162573497"
66,"2026-01-28","[청약지식] 2025년 서울 청약 경쟁률 TOP9_최고점 84점... ","귀얇은 양똥이네","https://blog.naver.com/yhe0812/224162558855"
67,"2026-01-28","드파인 연희 당첨자발표 청약 경쟁률 당첨가점 청약홈 당첨자... ","긍부로의 재테크정복기","https://blog.naver.com/roadtoriches/224162507312"
68,"2026-01-28","수색8구역 매물현황","은평구재개발,수색증산뉴타운 서정부동산","https://blog.naver.com/selfreader4/224162522595"
69,"2026-01-28","우리은행 아파트매매대출 최저 금리 4.85% 등 1월 28일 은행... ","모기지투데이","https://blog.naver.com/buzzko/224162513391"
70,"2026-01-28","2026.01.28. 오늘의 뉴스 브리핑","발로뛰는 부동산 투자","https://blog.naver.com/mispace100/224162457763"
71,"2026-01-28","〔드파인 연희〕당첨자발표, 당첨컷","월용이의 부동산 일지","https://blog.naver.com/sunman30/224162413671"
72,"2026-01-28","[아파트 청약] 드파인연희 당첨가점","몸이 먼저 움직이고 마음이 따른다","https://blog.naver.com/88_08_29/224162412199"
73,"2026-01-28","2026년 1월 전국 주요 아파트 청약 일정 및 수도권 핵심 분양... ","호히아줌마 재테크노트","https://blog.naver.com/e-hub/224162006264"
74,"2026-01-28","오늘의 부동산뉴스 2026.01.28(수)","2층부동산 공인중개사사무소","https://blog.naver.com/secondfloor70/224162405064"
75,"2026-01-28","드파인 연희 당첨가점 설명","현공의 놀이터","https://blog.naver.com/rabioleo/224162310136"
76,"2026-01-28","드파인연희 당첨자발표 5인가구 4인가구 만점 등장","임장에 미치다","https://blog.naver.com/ffireworkk/224162304642"
77,"2026-01-28","[청약정보] 드파인연희 당첨자 발표 / 당첨확인 /최고점74... ","귀얇은 양똥이네","https://blog.naver.com/yhe0812/224162109388"
78,"2026-01-28","드파인 연희 예비 당첨자발표 순번 기회있을까?","스나이퍼아이즈","https://blog.naver.com/snipereyes/224162095578"
79,"2026-01-28","드파인 연희 아파트 청약 결과 발표, 당첨가점, 당첨컷","돈버는여인's 스토리","https://blog.naver.com/kyz89/224162094601"
80,"2026-01-28","드파인 연희 청약 당첨자 발표! + 추첨제 경쟁률 + 필요현금... ","kiwi girl's life","https://blog.naver.com/kiwi_girrrl/224162084240"
81,"2026-01-27","2026.01.19 주간시계열","호재호 블로그","https://blog.naver.com/hojaeho_/224162072963"
82,"2026-01-27","드파인 연희, 청약 경쟁률 44:1 돌풍! 당첨 가점 커트라인과... ","대박","https://blog.naver.com/greatlucky_/224161889167"
83,"2026-01-27","드파인연희: 2026년 분양가, 위치, 평면도 핵심 분석","Me and My love ones","https://blog.naver.com/small_mei/224154506526"
84,"2026-01-27","드파인 연희 청약 당첨일은? 분양가 일정 총정리","제이든의 경제리카노","https://blog.naver.com/jayden-01/224161765709"
85,"2026-01-27","2026 서울 분양단지 총정리 반포·방배·흑석…올해 알짜는 어디","빗자루 부동산","https://blog.naver.com/onenova/224161752582"
86,"2026-01-27","아파트 청약에서 말하는 무주택자의 기준","부동산 맛집 따라잡기","https://blog.naver.com/happyvirus82_/224161684762"
87,"2026-01-27","[마포] SK연희 드파인 모델하우스 다녀온 후기","내 일상 기록","https://blog.naver.com/7_16_mi/224161310206"
88,"2026-01-27","다주택자 양도세 중과 유예 종료 향후 부동산 전망 알잘딱 총정리","우리 모두의 안전한 노후생활을 위하여","https://blog.naver.com/ccm3018/224160976007"
89,"2026-01-26","서울 신축 아파트 ‘드파인연희’ 하이엔드 분양의 모든 것","RealFinance","https://blog.naver.com/realfinance_/224160602452"
90,"2026-01-26","2026년 서울 분양시장 분석!① 2025년 서울 아파트 분양시장... ","5분 부동산 상담소","https://blog.naver.com/5_min_counseling/224160398906"
91,"2026-01-26","서울 분양 풍성, 돈되는 분양단지 알려드립니다!","아임해피공인중개사 아임해피 정지영","https://blog.naver.com/iammentor/224160390182"
92,"2026-01-26","북가좌6구역 대지지분 11.9평 다세대 매물","수색증산뉴타운02.373.2121","https://blog.naver.com/glorian4u/224160296023"
93,"2026-01-26","최근 분양 흥행단지, 기대 예정 단지","아파트 시행부지 & 빌딩 전문 컨설팅","https://blog.naver.com/yjkim25800/224160258358"
94,"2026-01-26","양도세 중과가 예상대로 부활합니다! 이제 매물은 더 묶을... ","바우의 경제 정보","https://blog.naver.com/baueconomy/224159873696"
95,"2026-01-26","증산5구역 84타입 조합원 매매 9.5억","수색증산뉴타운02.373.2121","https://blog.naver.com/glorian4u/224160004070"
96,"2026-01-26","청약 캘린더 - 공급부족이 만든 서울 쏠림 현상. 시흥거모지구... ","등기기관차 부동산이야기","https://blog.naver.com/kyonghmoon/224159966791"
97,"2026-01-26","2025년 수도권 서울 인천 경기 아파트 청약 경쟁률 Top10","경제와 부동산으로 골드파이프 만들기","https://blog.naver.com/goldpipes/224159922524"
98,"2026-01-26","드파인연희 이후, 2월 서울 청약 베스트3는 여기다 (신길·강서... ","당신의 젊은 은빛이 윤택하도록","https://blog.naver.com/youngsilver-eunsa/224159834873"
99,"2026-01-26","안양역 센트럴 아이파크 수자인 분양정보 정리 (입지, 분양가... ","이제링","https://blog.naver.com/dbfksgl/224159712596"
100,"2026-01-26","미혼도 '내 집' 가능? 2026년 청약 개편 &amp; 서울 3대장 (싱글 특공)","인사이트 랩 : 부의 지도를 그리다","https://blog.naver.com/insightslab/224155809827"
101,"2026-01-26","뉴스 정리 및 오늘의 기록 - 2026/01/26 (메지온 엔화)","FUDA의 레시피","https://blog.naver.com/fuda_recipe/224159694371"
102,"2026-01-26","서울 하이엔드 아파트 단지의 새 시대 드파인 연희","RealFinance","https://blog.naver.com/realfinance_/224159658153"
103,"2026-01-25","불광역세권 장기전세주택 도시정비형 재개발사업 사업성 분석","DMC지역전문 든든DMC프리미엄부동산중개 블로그","https://blog.naver.com/ddrealestate/224159437842"
104,"2026-01-25","분양시장 초양극화, 청약 경쟁률이 말해주는 현실","신다의 해피하우스","https://blog.naver.com/shinda58/224159378637"
105,"2026-01-25","[1월분양] 1월 넷째주 분양일정 알아보기","꽃보다분양 010-2399-3206","https://blog.naver.com/babi8102/224158784511"
106,"2026-01-25","[서대문구] 드파인 연희 분양 개요 및 1순위 청약 결과 (평균... ","live your home","https://blog.naver.com/85ten_billion/224159289173"
107,"2026-01-25","서울·수도권·지방 부동산 상황 요약 (feat. 불장의 전조)","자유 아카데미 - 부의 여정","https://blog.naver.com/dangbussam/224159281813"
108,"2026-01-25","[신문 속 경제 상식]  5.장기보유특별공제","솜씨의 부자되는 일기","https://blog.naver.com/wellbeing1013/224159265557"
109,"2026-01-25","드파인 연희","J 분양하우스","https://blog.naver.com/didgml0674/224159192804"
110,"2026-01-25","[분양캘린더] 1월 넷째주 아파트 분양 단지","아파트 분양의 모든 것","https://blog.naver.com/sa26050/224159134736"
111,"2026-01-25","[주간뉴스레터] 그래서 공급은 어디에...","리얼투데이 청약홈","https://blog.naver.com/re2day/224159117899"
112,"2026-01-25",""로또 청약"이 온다! 서울 1분기 분양 예정 단지 총정리 (차익... ","청년뚱이의 재테크","https://blog.naver.com/cheongnyeonttung-2/224159030592"
113,"2026-01-25","드파인연희 가격 모집공고 청약 위치 자격 분양가 조건... ","미소가득한 공간","https://blog.naver.com/wkhdjkf/224158841745"
114,"2026-01-25","분양정보 (1월 넷째 주)","광명푸르지오 공인중개사사무소","https://blog.naver.com/smkhkim/224158990784"
115,"2026-01-25","출근길일기 260125 이북식만둣국, 올데프앨범, 와인한잔","dhvibe","https://blog.naver.com/dh_vibe/224158979322"
116,"2026-01-25","양도세 중과면제 종료? 보유세 세금카드도 나올까","문돌이의 부자의서재","https://blog.naver.com/moondolit/224158967563"
117,"2026-01-25","[2026] 1월 넷째 주 분양캘린더","VIP파트너 가디언과 부동산 이야기","https://blog.naver.com/realestate_n01/224158878846"
118,"2026-01-25","[금주의 부동산 뉴스] 01/25  「GTX-C, 이르면 3월 본궤도... ","소비와의 전쟁","https://blog.naver.com/tofindpeace/224158846300"
119,"2026-01-25","가재울뉴타운 임장기 4편 DMC금호리첸시아","조스크","https://blog.naver.com/clubjosc/224158635775"
120,"2026-01-25","1/19~1/23 청약 결과 (드파인 연희, 힐스테이트 광명 무순위 등)","MJ책빵의 부동산 투자, 독서, 자기계발, 경제적 자유","https://blog.naver.com/darkwarrak/224158189331"
121,"2026-01-25","드파인연희, 생각보다 강력하네요.","덩치 불리는 투자이야기","https://blog.naver.com/dungchi_investment/224155476451"
122,"2026-01-25","[청약일정] 1월 5주차 아파트 청약일정 정리(1월 다섯째주)","쭈린이의 블로그","https://blog.naver.com/bepul/224158645007"
123,"2026-01-24","드파인 연희, 일반공급 1순위 마감 소식에 청약 시장 들썩","자몽코끼리 자본주의 유치원","https://blog.naver.com/archf/224158602389"
124,"2026-01-24","2026년 1월 청약 일정 정리｜이번 달 꼭 체크할 단지들","세상맛집 다모여라","https://blog.naver.com/pbjneo7/224158578209"
125,"2026-01-24","서울 신축을 갖고 싶다면 지금 OO로 달려가세요","두근두근 재테크","https://blog.naver.com/thddl302/224158561005"
126,"2026-01-24","드파인 연희 vs DMC파크뷰자이, 동액이라면?","성장하는 투자 이야기","https://blog.naver.com/bu-n_n/224158529117"
127,"2026-01-24",""12억 청약에 44대 1 몰렸다고?" 서울 첫 분양 ‘드파인 연희... ","뚝프로 경제 이야기","https://blog.naver.com/health248/224158516284"
128,"2026-01-24","서울 청약, 기다리면 손해입니다 — 드파인 연희 44:1, 재건축... ","부동산킴변 silent&efficient","https://blog.naver.com/seonkwan_kim/224158446247"
129,"2026-01-24","드파인 연희 44대 1, 청약열풍!","토지문제해결연구소님의 블로그","https://blog.naver.com/insightceo/224156386309"
130,"2026-01-24",""15억이면 합리적" 청약자 6600명 몰린 이유와 당첨선은... ","부동산 생방송포탈 뉴스","https://blog.naver.com/fedp0131/224158380459"
131,"2026-01-24","반포주공1단지재건축시세(1424)","반포주공1단지재건축삼정공인중개사","https://blog.naver.com/sj5954400/224158318464"
132,"2026-01-24","드파인 연희 분양 체크 포인트 정리","주거 판단 노트","https://blog.naver.com/slamshss/224157138985"
133,"2026-01-24","한국경제신문 - 2026년 01월 24일 (토)","단비","https://blog.naver.com/hjungwon181/224158305172"
134,"2026-01-24","20260124_부동산뉴스 헤드라인 브리핑","파두의 투플(투데이플러스)","https://blog.naver.com/wjk0219/224158241940"
135,"2026-01-24","한국경제신문 2026년1월24일 토요일 오늘 경제 뉴스 소식","부루마불","https://blog.naver.com/ferrari3137/224158190909"
136,"2026-01-24","“15억이어도 줄 섰다”…지금 서울 분양에 사람들이 몰리는... ","지피티미니의 똑똑한 일상","https://blog.naver.com/gptmini/224158189321"
137,"2026-01-24","서울 강북 오랜만에 분양 | 연희동 드파인연희 경쟁률이..","천천히 부자되는 40대 부부","https://blog.naver.com/amoona55/224158136216"
138,"2026-01-24","2026 서울 첫 청약단지 드파인연희 분석 및 당첨시 대출계획","인생결산","https://blog.naver.com/nicole3856/224158105578"
139,"2026-01-24","2026.01.24 경제뉴스","newstodayx","https://blog.naver.com/newstodayx/224158090109"
140,"2026-01-24","서울 1분기 분양예정 단지","감사한 여유미의 블로그","https://blog.naver.com/red9house/224158056292"
141,"2026-01-24","“지금 아니면 끝?” 국평 15억에도 줄 서는 서울 분양 동네","댓글이 많은 경제 뉴스","https://blog.naver.com/stickyword/224157980238"
142,"2026-01-24","2026년 청약 일정 총정리, 상반기 분양 예정 단지를 한눈에... ","경제야 놀자 ✔","https://blog.naver.com/ctredit/224156793709"
143,"2026-01-24","연초 분양시장 ‘숨 고르기’…다음 주 청약 물량 156가구에... ","지식마을","https://blog.naver.com/chobh21/224157950622"
144,"2026-01-24","서울 공급절벽은 계속된다, 가뭄 속 ‘단비 같은’ 일반분양 정리","sustainable_wealth님의 블로그","https://blog.naver.com/sustainable_wealth/224157934584"
145,"2026-01-24","[한국경제] 26/1/24 토요일","균형있는 경제 레슨","https://blog.naver.com/newsandnew/224157891146"
146,"2026-01-24","2026년 1월 5주차 아파트 &amp; 수익형 부동산 분양 단지들","♣ 금융 (보험/연금/펀드) & 부동산 재테크 가이드 ♣","https://blog.naver.com/kongjui/224157848470"
147,"2026-01-24","[부동산 뉴스정리]  李 대통령 "다주택자 중과유예 종료... ","내맘대로","https://blog.naver.com/leehoo5068/224157840932"
148,"2026-01-24","드파인 연희 끝났다. 다음 타자는 서초·반포다. 26년... ","당신의 젊은 은빛이 윤택하도록","https://blog.naver.com/youngsilver-eunsa/224157591079"
149,"2026-01-24","다주택자 넘어 1주택 갭투자도 겨냥...선거前 집값 잡기 총력전... ","츄우의 부자되기 습관","https://blog.naver.com/jun7552/224157834848"
150,"2026-01-24","초강력 대출규제 안먹히자…李, 최후수단 '세금 카드' 꺼냈다... ","새강산","https://blog.naver.com/segangsan/224157541749"
151,"2026-01-24","[오늘의 이야기] 사탕발림 부동산 대책 뒤에 오는 것","수도시민경제","https://blog.naver.com/sudocbiz/224157757633"
152,"2026-01-24","7편｜금호 16구역 분석: 드파인 연희보다 치열할 57가구 물량!","지혜의 별(G-Star) 부동산 센터","https://blog.naver.com/gstar_v1/224154268573"
153,"2026-01-23","안양역 센트럴 아이파크 수자인 필요현금 분석｜분양가 9억... ","당신의 젊은 은빛이 윤택하도록","https://blog.naver.com/youngsilver-eunsa/224157579678"
154,"2026-01-23","[부동산뉴스] 1월24일(토)-다주택자 양도세 5월 9일 이후 중과... ","삶터&부동산 이야기","https://blog.naver.com/amigu33/224157525034"
155,"2026-01-23","탈잉X스크루지 환급 챌린지 데일리 미션 35","콩콩이 키우기","https://blog.naver.com/serendipity_uu/224157343441"
156,"2026-01-23","2026년 서울 분양 시장의 서막, '드파인 연희' 흥행과 강남... ","세종한국부동산","https://blog.naver.com/pkhbd/224157152688"
157,"2026-01-23","[2026년 1월 5주차]분양소식","이분양, 현장방문","https://blog.naver.com/kmsrsun/224157077274"
158,"2026-01-23","청약 접수 일정과 분양 정보로 본 2025년 부동산 트렌드","RealFinance","https://blog.naver.com/realfinance_/224157037415"
159,"2026-01-23","서울 첫 분양 '드파인 연희' 44대 1…하이엔드 통했다","경제타임스","https://blog.naver.com/ketimes/224156956772"
160,"2026-01-23","운정아이파크포레스트 아파트 일반분양 공급일정 모델하우스예약","단비네 부동산","https://blog.naver.com/leesh344/224156909655"
161,"2026-01-23","드파인 연희 청약 결과 평균 44:1","DMC지역전문 든든DMC프리미엄부동산중개 블로그","https://blog.naver.com/ddrealestate/224156870264"
162,"2026-01-23","기준을 바꾸다? 드파인 연희 모델하우스 직접 살펴본 후기","돈돈","https://blog.naver.com/moneypig5/224156581711"
163,"2026-01-23","더샵신길센트럴시티 입지 평면도 분석 분양가는 얼마? 대출... ","세상 흘러가는 돈이야기","https://blog.naver.com/iopdudgml/224156824707"
164,"2026-01-23","전국 민간 아파트 분양가 체크","이상적인 포트폴리오: 가족·투자·직장","https://blog.naver.com/grit_flameofsprit/224156770093"
165,"2026-01-23","서울 첫 분양부터 44대 1…지금 청약시장, 진짜 불 붙었습니다","반포 하이엔드 전문 반포 공감 부동산","https://blog.naver.com/banpogonggam/224156697367"
166,"2026-01-23","드파인 연희 분양가 보셨나요?비싸다더니 44대 1로 완판된 이유","돈돈","https://blog.naver.com/moneypig5/224156580812"
167,"2026-01-23","드파인 연희 청약 경쟁률 44대 1, 왜 이렇게 몰렸을까?","돈도 커리어도 키운 워킹맘의 14억 노트","https://blog.naver.com/simpli-/224153854811"
168,"2026-01-23",""드파인 연희 44:1 봤지?" 2월엔 강남 '로또 대어' 오티에르... ","부(富)지Run : 부를 알고 달리는 재테크 기록","https://blog.naver.com/buzi_runner/224156660914"
169,"2026-01-23","[26.01.23.] 국평 15억 드파인 연희 경쟁률 44 대 1 기록","하루 한 귤, 하루 한 글","https://blog.naver.com/regyuler/224156653444"
170,"2026-01-23","드파인 연희 청약 경쟁률이 보여주는 시사점","월세사는 PF전문가의 재테크","https://blog.naver.com/flyhigh3233/224156651696"
171,"2026-01-23","드파인 연희 분양 정보 및 입지 환경 상세 분석 가이드","예랑햇살농장 스마트팜 유통","https://blog.naver.com/iandgood001/224156650335"
172,"2026-01-23",""설마했는데" 급여 밀리고 점포엔 빨간딱지…홈플러스 어쩌나... ","쩌네의 차곡차곡 모은 기억들","https://blog.naver.com/hussey89/224156493532"
173,"2026-01-23","시작 (노원구 서울원아이파크, 매물 증감, 드파인 연희)","삶이고단수의 부동산투자","https://blog.naver.com/sdhhammer/224156449596"
174,"2026-01-23","1월 23일 부동산 뉴스","부동산,주식,뉴스, 보물찾기(010-9281-7055)","https://blog.naver.com/fr1972/224156623226"
175,"2026-01-23","2026년 서울 재개발 투자 가이드: 유망 지역 TOP3 (최신 뉴스)","부의 지름길을 걷는 N잡러","https://blog.naver.com/shortcuttowealth/224156620633"
176,"2026-01-23","드파인 연희 44대 1 흥행, 2026년 서울 첫 분양 왜 이렇게... ","자몽코끼리 자본주의 유치원","https://blog.naver.com/archf/224156549886"
177,"2026-01-23","드파인연희 당첨 예상 컷 대공개, 이 점수면 가능할까 (지금... ","2030 경제적 자유 달성","https://blog.naver.com/slowmornings_/224156300270"
178,"2026-01-22","" 10년 뒤 피눈물 흘릴 3가지 이유 (서대문구 드파인 연희)","임장연구소","https://blog.naver.com/imjang_lab/224156444442"
179,"2026-01-22","청약 넣기 전에 꼭 보는 것 3가지(드파인 연희로 정리)","모든 것은 내가 중심♡","https://blog.naver.com/wanttodo2039/224156398061"
180,"2026-01-22","아크로 드 서초 분양가 공개 임박…시세차익 최대 20억 가능할까","☆ 단타여전사의 차트on","https://blog.naver.com/ozzuzz/224156384624"
181,"2026-01-22","2026년 1월 22일 부동산 뉴스 요약","⠀","https://blog.naver.com/kimsongmi8383/224156338095"
182,"2026-01-22","(금리 미국 인하 한국 동결) 2026년 부동산 전망 핵간단 대공개","우리 모두의 안전한 노후생활을 위하여","https://blog.naver.com/ccm3018/224156285573"
